	D5G	wG	D4G	D1G	DG	D4GD5G	X	Y
220	0.691316827	44.8291	0.188180147	1.320911888	2.318894005	0.879496975	-25.8642	-35.700703
221	0.740743318	44.9144	0.299304082	1.323420362	2.479516027	1.0400474	-25.8642	-34.700573
222	0.730041266	45.3127	0.236105651	1.268679328	2.346641864	0.966146916	-25.8642	-33.700439
223	0.754397861	43.5922	0	0.409674234	1.292982917	0.754397861	-25.8642	-32.700306
224	0.685979802	41.8236	0.191679278	1.169955587	2.213771922	0.87765908	-25.8642	-31.700174
225	0.687596885	42.6724	0.17228676	1.340259231	2.328141867	0.859883645	-25.8642	-30.700043
226	0.903519655	43.6239	0.025883632	1.402686881	2.489186196	0.929403286	-25.8642	-29.699911
227	0.785328382	41.928	0.011342392	1.170704196	2.180628247	0.796670774	-25.8642	-28.69978
228	0.580288228	47.1977	0.094175808	0.888009754	1.685995427	0.674464036	-25.8642	-27.699648
229	1.187884026	43.9792	0.017283905	1.671829067	3.072451772	1.20516793	-25.8642	-26.699514
230	0.724270681	43.7096	0.17928426	1.317736371	2.350057503	0.903554941	-25.8642	-25.699383
231	0.693725591	43.7465	0.166851979	1.329687883	2.322015458	0.86057757	-25.8642	-24.699251
232	0.687664261	43.151	0.180188695	1.390002945	2.387121957	0.867852956	-25.8642	-23.69912
233	0.743638411	45.4257	0.260053797	1.292555499	2.404818692	1.003692209	-25.8642	-22.698988
234	0.730830642	44.6166	0.291093919	1.317946349	2.45715668	1.021924561	-25.8642	-21.698854
235	0.737697185	44.067	0.27735615	1.345589043	2.484059309	1.015053335	-25.8642	-20.698723
236	0.716173884	44.382	0.214382931	1.385467571	2.434666286	0.930556816	-25.8642	-19.698591
237	0.723333539	45.9783	0.22506215	1.282487686	2.341342279	0.948395689	-25.8642	-18.69846
238	0.801279994	46.8003	0.329310068	1.339665653	2.579333195	1.130590062	-25.8642	-17.698328
239	0.897927561	46.432	0.362730694	1.441271686	2.835343977	1.260658255	-25.8642	-16.698196
240	0.723149983	45.0019	0.212938233	1.329240621	2.381238397	0.936088216	-25.8642	-15.698064
241	0.775534934	44.6722	0.24423358	1.344483585	2.483985587	1.019768514	-25.8642	-14.697931
242	0.840176318	45.1345	0.1578203	1.841191974	3.012498159	0.997996618	-25.8642	-13.6978
243	0.742694446	45.4063	0.255370231	1.332129047	2.43950328	0.998064677	-25.8642	-12.697667
244	0.720739259	43.8038	0.258934484	1.392351992	2.495187104	0.979673743	-25.8642	-11.697536
245	0.681738744	43.0794	0.162226903	1.309395952	2.28458127	0.843965646	-25.8642	-10.697404
246	0.709159592	43.9973	0.205619413	1.328552896	2.36558282	0.914779005	-25.8642	-9.6972713
247	0.793634458	44.9536	0.309745353	1.363475111	2.587489384	1.103379811	-25.8642	-8.6971397
248	0.715464743	43.7786	0.03064254	0.461313112	1.320699085	0.746107283	-25.8642	-7.6970077
249	0.750971674	45.6059	0.276359143	1.342368964	2.488614625	1.027330817	-25.8642	-6.6968756
250	0.731060067	44.8405	0.275990633	1.338793987	2.462471411	1.0070507	-25.8642	-5.6967435
251	0.816677054	45.2873	0.325583915	1.354702484	2.632155581	1.142260969	-25.8642	-4.6966119
252	0.729150897	43.6707	0.282208894	1.397898817	2.531784848	1.01135979	-25.8642	-3.6964798
253	0.729447514	43.6347	0.247144878	1.346056349	2.447734884	0.976592392	-25.8642	-2.6963477
254	0.756426477	43.6504	0.346525427	1.360257932	2.596535461	1.102951904	-25.8642	-1.6962157
255	0.729744784	43.9254	0.297379346	1.34802049	2.496356376	1.02712413	-25.8642	-0.69608378
256	0.715082344	42.3614	0.152382862	1.487110732	2.51042388	0.867465206	-25.8642	0.30404818
257	0.790577539	44.2514	0.324001118	1.337502074	2.574136486	1.114578657	-25.8642	1.3041801
258	0.706933019	42.0598	0.000719666	1.296802925	2.161183497	0.707652685	-25.8642	2.3043122
259	0.748412574	41.8243	0.166063842	1.296030292	2.345648345	0.914476416	-25.8642	3.3044441
260	0.722762993	44.6965	0.223103542	1.313069134	2.377647391	0.945866535	-25.8642	4.3045759
261	0.741282529	45.2705	0.279709896	1.309733655	2.447213281	1.020992425	-25.8642	5.304708
262	0.935209254	41.3655	0	0.508179392	1.613305706	0.935209254	-25.8642	6.3048401
263	0.727884143	45.1394	0.226147804	1.327986103	2.401431215	0.954031947	-25.8642	7.3049722
264	0.834689012	45.2262	0.348455549	1.355614216	2.669469768	1.183144561	-25.8642	8.3051043
265	0.750866704	44.6761	0.279721257	1.354954675	2.508216705	1.030587961	-25.8642	9.3052359
266	0.949320937	43.7337	0.032231891	1.334072294	2.497573636	0.981552828	-25.8642	10.305368
267	0.98266064	43.0412	0	1.392431091	2.600220863	0.98266064	-25.8642	11.3055
268	0.770844545	44.5706	0.348982847	1.340349195	2.588854533	1.119827392	-25.8642	12.305632
269	0.748843488	41.8704	0.133448164	1.829075212	2.852092971	0.882291652	-25.8642	13.305764
270	0.768414099	44.5092	0.153319715	1.747311853	2.835530859	0.921733814	-25.8642	14.305896
271	0.801531025	45.2556	0.311002843	1.324452592	2.556657051	1.112533868	-25.8642	15.306027
272	0.745292861	41.142	0.090686075	0.665219335	1.661278255	0.835978936	-25.8642	16.30616
273	0.72104753	44.2488	0.224476048	1.368883504	2.432695993	0.945523579	-25.8642	17.306292
274	0.744114814	45.4431	0.287835099	1.375361202	2.524919669	1.031949913	-25.8642	18.306423
275	0.675491023	42.0807	0.173068064	1.371723771	2.360335864	0.848559087	-25.8642	19.306557
276	0.606895526	47.0149	0	0.33776178	1.031537066	0.606895526	-25.8642	20.306688
277	0.713410544	50.9882	0.2202423	1.084088331	2.134450272	0.933652844	-25.8642	21.30682
278	0.720124035	44.0629	0.246612741	1.334943345	2.42378979	0.966736776	-25.8642	22.306952
279	0.716418894	43.3187	0.245924943	1.351567393	2.438080974	0.962343838	-25.8642	23.307083
280	0.801842737	45.6741	0.322530473	1.263090646	2.502480554	1.12437321	-25.8642	24.307215
281	0.739792401	46.7008	0.289361574	1.293082719	2.433922331	1.029153976	-25.8642	25.307348
282	0.936201175	46.3422	0.396500382	1.283004135	2.764041598	1.332701556	-25.8642	26.30748
